Row,Comparison,DM_Statistic,P_Value
۱,GBM_1_AutoML_1_20251126_25122_vs_GLM_1_AutoML_1_20251126_25122,-1.4670058915883268,0.14237445265432047
۲,GBM_1_AutoML_1_20251126_25122_vs_GBM_2_AutoML_1_20251126_25122,4.20946193228496,2.5597956524903154e-05
۳,GBM_1_AutoML_1_20251126_25122_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_3,6.597006139484818,4.1954439922164966e-11
۴,GBM_1_AutoML_1_20251126_25122_vs_GBM_3_AutoML_1_20251126_25122,2.7489934562548117,0.005977857962969457
۵,GBM_1_AutoML_1_20251126_25122_vs_GBM_grid_1_AutoML_1_20251126_25122_model_2,8.400576196098053,0.0
۶,GBM_1_AutoML_1_20251126_25122_vs_GBM_4_AutoML_1_20251126_25122,5.035213104839902,4.773175186212342e-07
۷,GBM_1_AutoML_1_20251126_25122_vs_GBM_5_AutoML_1_20251126_25122,3.776551923904969,0.00015901442197097104
۸,GBM_1_AutoML_1_20251126_25122_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_4,9.806150394768876,0.0
۹,GBM_1_AutoML_1_20251126_25122_vs_XGBoost_3_AutoML_1_20251126_25122,7.031699229863246,2.0403678746561127e-12
۱۰,GBM_1_AutoML_1_20251126_25122_vs_XGBoost_2_AutoML_1_20251126_25122,10.296939216554293,0.0
۱۱,GBM_1_AutoML_1_20251126_25122_vs_GBM_grid_1_AutoML_1_20251126_25122_model_1,2.765688248542125,0.005680280923250125
۱۲,GBM_1_AutoML_1_20251126_25122_vs_XGBoost_1_AutoML_1_20251126_25122,10.32234775617377,0.0
۱۳,GBM_1_AutoML_1_20251126_25122_vs_DRF_1_AutoML_1_20251126_25122,10.812294863300126,0.0
۱۴,GBM_1_AutoML_1_20251126_25122_vs_XRT_1_AutoML_1_20251126_25122,11.473485191419718,0.0
۱۵,GBM_1_AutoML_1_20251126_25122_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_5,17.106757217122002,0.0
۱۶,GBM_1_AutoML_1_20251126_25122_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_2,21.466525314872413,0.0
۱۷,GBM_1_AutoML_1_20251126_25122_vs_XGBoost_grid_1_AutoML_1_20251126_25122_model_1,22.613129306292407,0.0
